scholarship_id,scholarship_program,application_deadline,age,citizenship,residence,physically_fit,current_shs_strand,top_graduating_class,incoming_year_level,graduation_year,priority_programs,gwa_numerical,gwa_percentage,no_below_225_major,no_below_250_minor,no_failing_grade,regular_student,good_moral,no_other_scholarships,annual_household_income,not_a_working_student
1,"A Better Chance Foundation, Inc.",6/2/2025,,Filipino,,,,,,,,2,85,,,Yes,Yes,,Yes,400000,
2,Charity First Foundation Inc.,6/13/2025,,Filipino,Metro Manila,,,,1st Year,,Bachelor of Arts in Sociology (BAS),2.25,85,,,,,,Yes,,
2,Charity First Foundation Inc.,6/13/2025,,Filipino,Metro Manila,,,,1st Year,,Bachelor of Early Childhood Education (BECEd),2.25,85,,,,,,Yes,,
2,Charity First Foundation Inc.,6/13/2025,,Filipino,Metro Manila,,,,1st Year,,Bachelor of Elementary Education (BEEd),2.25,85,,,,,,Yes,,
2,Charity First Foundation Inc.,6/13/2025,,Filipino,Metro Manila,,,,1st Year,,Bachelor of Library and Information Science (BLIS),2.25,85,,,,,,Yes,,
2,Charity First Foundation Inc.,6/13/2025,,Filipino,Metro Manila,,,,1st Year,,Bachelor of Science in Applied Mathematics (BSAPMATH),2.25,85,,,,,,Yes,,
2,Charity First Foundation Inc.,6/13/2025,,Filipino,Metro Manila,,,,1st Year,,Bachelor of Science in Biology (BSBIO),2.25,85,,,,,,Yes,,
2,Charity First Foundation Inc.,6/13/2025,,Filipino,Metro Manila,,,,1st Year,,Bachelor of Science in Chemistry (BSCHEM),2.25,85,,,,,,Yes,,
2,Charity First Foundation Inc.,6/13/2025,,Filipino,Metro Manila,,,,1st Year,,Bachelor of Science in Civil Engineering (BSCE),2.25,85,,,,,,Yes,,
2,Charity First Foundation Inc.,6/13/2025,,Filipino,Metro Manila,,,,1st Year,,Bachelor of Science in Computer Engineering (BSCpE),2.25,85,,,,,,Yes,,
2,Charity First Foundation Inc.,6/13/2025,,Filipino,Metro Manila,,,,1st Year,,Bachelor of Science in Computer Science (BSCS),2.25,85,,,,,,Yes,,
2,Charity First Foundation Inc.,6/13/2025,,Filipino,Metro Manila,,,,1st Year,,Bachelor of Science in Electrical Engineering (BSEE),2.25,85,,,,,,Yes,,
2,Charity First Foundation Inc.,6/13/2025,,Filipino,Metro Manila,,,,1st Year,,Bachelor of Science in Electronics Engineering (BSECE),2.25,85,,,,,,Yes,,
2,Charity First Foundation Inc.,6/13/2025,,Filipino,Metro Manila,,,,1st Year,,Bachelor of Science in Food Technology (BSFT),2.25,85,,,,,,Yes,,
2,Charity First Foundation Inc.,6/13/2025,,Filipino,Metro Manila,,,,1st Year,,Bachelor of Science in Industrial Engineering (BSIE),2.25,85,,,,,,Yes,,
2,Charity First Foundation Inc.,6/13/2025,,Filipino,Metro Manila,,,,1st Year,,Bachelor of Science in Information Technology (BSIT),2.25,85,,,,,,Yes,,
2,Charity First Foundation Inc.,6/13/2025,,Filipino,Metro Manila,,,,1st Year,,Bachelor of Science in Mathematics (BSMATH),2.25,85,,,,,,Yes,,
2,Charity First Foundation Inc.,6/13/2025,,Filipino,Metro Manila,,,,1st Year,,Bachelor of Science in Mechanical Engineering (BSME),2.25,85,,,,,,Yes,,
2,Charity First Foundation Inc.,6/13/2025,,Filipino,Metro Manila,,,,1st Year,,Bachelor of Science in Nutrition and Dietetics (BSND),2.25,85,,,,,,Yes,,
2,Charity First Foundation Inc.,6/13/2025,,Filipino,Metro Manila,,,,1st Year,,Bachelor of Science in Physics (BSPHY),2.25,85,,,,,,Yes,,
2,Charity First Foundation Inc.,6/13/2025,,Filipino,Metro Manila,,,,1st Year,,Bachelor of Science in Psychology (BSPSY),2.25,85,,,,,,Yes,,
2,Charity First Foundation Inc.,6/13/2025,,Filipino,Metro Manila,,,,1st Year,,Bachelor of Science in Railway Engineering (BSRE),2.25,85,,,,,,Yes,,
2,Charity First Foundation Inc.,6/13/2025,,Filipino,Metro Manila,,,,1st Year,,Bachelor of Science in Statistics (BSSTAT),2.25,85,,,,,,Yes,,
2,Charity First Foundation Inc.,6/13/2025,,Filipino,Metro Manila,,,,1st Year,,Bachelor of Secondary Education major in Mathematics (BSEd-Math),2.25,85,,,,,,Yes,,
2,Charity First Foundation Inc.,6/13/2025,,Filipino,Metro Manila,,,,1st Year,,Bachelor of Secondary Education major in Science (BSEd-Science),2.25,85,,,,,,Yes,,
2,Charity First Foundation Inc.,6/13/2025,,Filipino,Metro Manila,,,,1st Year,,Bachelor of Technology and Livelihood Education (BTLEd),2.25,85,,,,,,Yes,,
